iter	Passed	Remaining
0	0	62
1	1	57
2	1	56
3	2	52
4	2	51
5	3	50
6	3	49
7	4	49
8	4	48
9	5	48
10	5	47
11	6	46
12	6	46
13	7	46
14	8	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	38
27	14	38
28	15	37
29	15	37
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	25	25
50	26	25
51	27	24
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	50	1
97	51	1
98	51	0
99	52	0
